,wdbc,bank,ion,clima,fert
0,1.0,1.0,0.9859154929577465,0.9722222222222222,1.0
1,1.0,1.0,0.9571428571428572,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,0.9911504424778761,1.0,1.0,1.0,0.9
