,L,modelo,fold,Acurácia
173,40,bagging,4,1.0
174,50,bagging,4,1.0
175,60,bagging,4,1.0
176,70,bagging,4,1.0
177,80,bagging,4,1.0
178,90,bagging,4,1.0
179,100,bagging,4,1.0
180,10,adaboost,4,1.0
181,20,adaboost,4,1.0
182,30,adaboost,4,1.0
183,40,adaboost,4,1.0
184,50,adaboost,4,1.0
185,60,adaboost,4,1.0
186,70,adaboost,4,1.0
187,80,adaboost,4,1.0
188,90,adaboost,4,1.0
189,100,adaboost,4,1.0
190,10,random_subspace,4,0.9734513274336283
191,20,random_subspace,4,0.9646017699115044
192,30,random_subspace,4,0.9823008849557522
193,40,random_subspace,4,0.9557522123893806
194,50,random_subspace,4,0.9646017699115044
195,60,random_subspace,4,0.9646017699115044
196,70,random_subspace,4,0.9734513274336283
197,80,random_subspace,4,0.9734513274336283
198,90,random_subspace,4,0.9734513274336283
199,100,random_subspace,4,0.9823008849557522
